# skymap_id,tract,patch,mjd,taiobs
98020304,9802,"3,4",56986.6006853338,2014-11-25 14:24:59.213000
98020504,9802,"5,4",56986.6070563965,2014-11-25 14:34:09.673000
98020201,9802,"2,1",56986.6221976299,2014-11-25 14:55:57.875000
98020207,9802,"2,7",56986.6113736872,2014-11-25 14:40:22.687000
98020104,9802,"1,4",56986.6264709956,2014-11-25 15:02:07.094000
98020304,9802,"3,4",56986.6070563965,2014-11-25 14:34:09.673000
98020607,9802,"6,7",57398.391605048,2016-01-11 09:23:54.676000
98020007,9802,"0,7",56986.6006853338,2014-11-25 14:24:59.213000
98020104,9802,"1,4",56986.6394077693,2014-11-25 15:20:44.831000
98020201,9802,"2,1",56986.6264709956,2014-11-25 15:02:07.094000
98020304,9802,"3,4",56986.6113736872,2014-11-25 14:40:22.687000
98020207,9802,"2,7",56986.6135193128,2014-11-25 14:43:28.069000
98020504,9802,"5,4",56986.6113736872,2014-11-25 14:40:22.687000
98020607,9802,"6,7",57398.4128750479,2016-01-11 09:54:32.404000
98020007,9802,"0,7",56986.6135193128,2014-11-25 14:43:28.069000
98020201,9802,"2,1",56986.6372479354,2014-11-25 15:17:38.222000
98020104,9802,"1,4",57106.4141724976,2015-03-25 09:56:24.504000
98020304,9802,"3,4",56986.6135193128,2014-11-25 14:43:28.069000
98020201,9802,"2,1",56986.6394077693,2014-11-25 15:20:44.831000
98020007,9802,"0,7",57398.4235245762,2016-01-11 10:09:52.523000
98020607,9802,"6,7",57398.4213987109,2016-01-11 10:06:48.849000
98020504,9802,"5,4",56986.6264709956,2014-11-25 15:02:07.094000
98020104,9802,"1,4",57398.4235245762,2016-01-11 10:09:52.523000
98020007,9802,"0,7",57398.4263706622,2016-01-11 10:13:58.425000
98020607,9802,"6,7",57398.4235245762,2016-01-11 10:09:52.523000
98020207,9802,"2,7",56986.6264709956,2014-11-25 15:02:07.094000
98020304,9802,"3,4",56986.6264709956,2014-11-25 15:02:07.094000
98020504,9802,"5,4",56986.6372479354,2014-11-25 15:17:38.222000
98020007,9802,"0,7",57398.4306568727,2016-01-11 10:20:08.754000
98020207,9802,"2,7",57398.391605048,2016-01-11 09:23:54.676000
98020402,9802,"4,2",56986.5978113902,2014-11-25 14:20:50.904000
98020007,9802,"0,7",57398.4327680622,2016-01-11 10:23:11.161000
98020504,9802,"5,4",57398.4235245762,2016-01-11 10:09:52.523000
98020304,9802,"3,4",56986.6372479354,2014-11-25 15:17:38.222000
98020207,9802,"2,7",57398.4235245762,2016-01-11 10:09:52.523000
98020505,9802,"5,5",56986.5978113902,2014-11-25 14:20:50.904000
98020402,9802,"4,2",56986.6006853338,2014-11-25 14:24:59.213000
98020207,9802,"2,7",57398.4306568727,2016-01-11 10:20:08.754000
98020304,9802,"3,4",57398.4235245762,2016-01-11 10:09:52.523000
98020402,9802,"4,2",56986.6070563965,2014-11-25 14:34:09.673000
98020505,9802,"5,5",56986.6006853338,2014-11-25 14:24:59.213000
98020505,9802,"5,5",56986.6113736872,2014-11-25 14:40:22.687000
98020402,9802,"4,2",56986.6113736872,2014-11-25 14:40:22.687000
98020402,9802,"4,2",56986.6264709956,2014-11-25 15:02:07.094000
98020505,9802,"5,5",56986.6264709956,2014-11-25 15:02:07.094000
98020505,9802,"5,5",57398.391605048,2016-01-11 09:23:54.676000
98020002,9802,"0,2",56986.6006853338,2014-11-25 14:24:59.213000
98020402,9802,"4,2",56986.6372479354,2014-11-25 15:17:38.222000
98020100,9802,"1,0",56986.5920522045,2014-11-25 14:12:33.310000
98020002,9802,"0,2",56986.6070563965,2014-11-25 14:34:09.673000
98020106,9802,"1,6",56986.6006853338,2014-11-25 14:24:59.213000
98020505,9802,"5,5",57398.4128750479,2016-01-11 09:54:32.404000
98020100,9802,"1,0",56986.5948846661,2014-11-25 14:16:38.035000
98020106,9802,"1,6",56986.6135193128,2014-11-25 14:43:28.069000
98020002,9802,"0,2",56986.6091710958,2014-11-25 14:37:12.383000
98020505,9802,"5,5",57398.4235245762,2016-01-11 10:09:52.523000
98020100,9802,"1,0",56986.6006853338,2014-11-25 14:24:59.213000
98020106,9802,"1,6",56986.6264709956,2014-11-25 15:02:07.094000
98020002,9802,"0,2",56986.6135193128,2014-11-25 14:43:28.069000
98020100,9802,"1,0",56986.6070563965,2014-11-25 14:34:09.673000
98020002,9802,"0,2",56986.6264709956,2014-11-25 15:02:07.094000
98020100,9802,"1,0",56986.6221976299,2014-11-25 14:55:57.875000
98020306,9802,"3,6",56986.6006853338,2014-11-25 14:24:59.213000
98020002,9802,"0,2",56986.6394077693,2014-11-25 15:20:44.831000
98020106,9802,"1,6",57106.4141724976,2015-03-25 09:56:24.504000
98020300,9802,"3,0",56986.5920522045,2014-11-25 14:12:33.310000
98020100,9802,"1,0",56986.6264709956,2014-11-25 15:02:07.094000
98020701,9802,"7,1",56986.5401886576,2014-11-25 12:57:52.300000
98020002,9802,"0,2",57106.4141724976,2015-03-25 09:56:24.504000
98020306,9802,"3,6",56986.6113736872,2014-11-25 14:40:22.687000
98020106,9802,"1,6",57398.391605048,2016-01-11 09:23:54.676000
98020100,9802,"1,0",56986.6394077693,2014-11-25 15:20:44.831000
98020300,9802,"3,0",56986.6006853338,2014-11-25 14:24:59.213000
98020404,9802,"4,4",56986.5978113902,2014-11-25 14:20:50.904000
